first_use_any_dt,first_use_any_dt_raw,first_use_com_dt,first_use_com_dt_raw,class_intl_count,class_primary_cd,class_status_cd,class_status_dt,class_us_count,class_id,serial_no
,17760600,,17760600,1,014,9,1983-03-01,1,91,70022752
,17760600,,17760600,1,014,9,1983-03-01,1,92,70022753
,18781100,,18781100,1,052,9,1983-03-01,1,93,70022843
1843-03-01,18430301,1843-03-01,18430301,1,039,6,1999-11-02,1,94,70023017
,18871000,,18871000,6,046,2,2015-03-06,1,95,70023089
,18871000,,18871000,1,046,9,1983-03-01,1,96,70023126
1893-03-01,18930301,1893-03-01,18930301,1,046,2,2004-04-10,1,97,70023291
1878-06-01,18780601,1878-06-01,18780601,1,018,2,2004-04-17,1,98,70023353
1890-07-01,18900701,1890-07-01,18900701,1,035,2,2004-05-01,1,99,70023420
1879-04-01,18790401,1879-04-01,18790401,1,018,2,2004-05-08,1,100,70023441
1879-04-01,18790401,1879-04-01,18790401,1,044,2,2004-05-08,1,101,70023441
,18860000,,18860000,1,046,9,1983-03-01,1,102,70023463
,18860000,,18860000,1,046,9,1983-03-01,1,103,70023464
,18910000,,18910000,1,046,9,1983-03-01,1,104,70023481
1893-06-18,18930618,1893-06-18,18930618,1,007,2,2004-05-22,1,105,70023509
1875-05-29,18750529,1875-05-29,18750529,1,035,9,1985-07-16,1,106,70023616
1875-05-29,18750529,1875-05-29,18750529,1,035,9,1983-03-01,1,107,70023617
,18920000,,18920000,1,026,9,1983-03-01,1,108,70023640
,0,,0,0,023,1,1982-03-09,1,109,70023649
,0,,0,1,006,9,1983-03-01,1,110,70023664
1887-08-01,18870801,1887-08-01,18870801,1,046,2,2015-03-06,1,111,70023770
1890-11-13,18901113,1890-11-13,18901113,1,046,9,,1,113,70023788
,18920800,,18920800,0,018,9,1983-03-01,1,114,70023794
,0,,0,1,018,9,1983-03-01,1,115,70023823
,18870000,,18870000,1,018,6,1999-11-02,1,116,70023850
1893-10-07,18931007,1893-10-07,18931007,1,045,2,2004-09-04,1,117,70023873
,18690000,,18690000,1,018,6,1999-11-02,1,118,70023877
,18590600,,18590600,1,018,2,2004-09-11,1,119,70023896
,18910000,,18910000,1,018,6,1999-11-02,1,120,70023898
,18870000,,18870000,1,018,6,1999-11-02,1,121,70023899
,18740700,,18740700,1,046,9,1983-03-01,1,122,70024004
,18850400,,18850400,1,018,2,2015-03-06,1,123,70024049
,18780000,,18780000,1,045,6,1999-11-02,1,124,70024058
1893-08-20,18930820,1893-08-20,18930820,1,051,2,2004-12-11,1,125,70024295
1881-12-02,18811202,1881-12-02,18811202,1,046,9,1983-03-01,1,128,70024555
,18600100,,18600100,1,046,2,2015-03-06,1,129,70024620
,18680100,,18680100,1,019,9,1984-09-04,1,130,70024657
1891-01-01,18910101,1891-01-01,18910101,1,046,2,2011-02-09,1,131,70024818
1881-12-02,18811202,1881-12-02,18811202,1,046,9,1984-09-04,1,132,70025029
1894-03-10,18940310,1894-03-10,18940310,1,027,6,1999-11-02,1,133,70025036
1894-06-19,18940619,1894-06-19,18940619,1,046,9,1983-03-01,1,134,70025043
1894-01-15,18940115,1894-01-15,18940115,1,011,9,1983-03-01,1,135,70025119
,18861100,,18861100,1,002,9,,1,136,70025168
1891-07-11,18910711,1891-07-11,18910711,1,046,2,2016-02-20,1,138,70025222
1881-12-26,18811226,1881-12-26,18811226,1,018,9,2005-08-13,1,139,70025455
1881-07-20,18810720,1881-07-20,18810720,1,018,9,1983-03-01,1,140,70025494
,18680000,,18680000,2,034,2,2020-03-16,1,141,70025550
1893-08-24,18930824,1893-08-24,18930824,1,008,9,1987-07-23,1,143,70025573
1894-01-01,18940101,1894-01-01,18940101,1,046,9,1983-03-01,1,144,70025592
,18781100,,18781100,1,043,9,1983-03-01,1,145,70025627
,18810700,,18810700,0,043,9,1983-03-01,1,146,70025628
,18780000,,18780000,1,043,9,2005-09-17,1,147,70025629
,18830500,,18830500,1,043,9,1983-03-01,1,148,70025630
,18930000,,18930000,1,043,9,1983-03-01,1,149,70025631
,18890000,,18890000,1,043,9,1983-03-01,1,150,70025632
,18650000,,18650000,1,043,9,1983-03-01,1,151,70025633
,18860600,,18860600,1,043,9,1983-03-01,1,152,70025636
,18750000,,18750000,1,043,9,1983-03-01,1,154,70025669
,18750000,,18750000,1,043,9,2005-09-24,1,155,70025674
1894-03-17,18940317,1894-03-17,18940317,1,015,9,1983-03-01,1,156,70025770
1892-02-01,18920201,1892-02-01,18920201,1,014,9,1983-03-01,1,157,70025884
1892-10-01,18921001,1892-10-01,18921001,1,007,9,1983-03-01,1,158,70025928
,18530000,,18530000,0,046,9,1983-03-01,1,159,70025989
1892-07-07,18920707,1892-07-07,18920707,1,051,9,1983-03-01,1,160,70026078
1892-03-31,18920331,1892-03-31,18920331,1,023,9,1983-03-01,1,161,70026104
