serial_no,abandon_dt,amend_reg_dt,amend_lb_for_app_in,amend_lb_for_reg_in,amend_lb_itu_in,amend_lb_use_in,reg_cancel_cd,reg_cancel_dt,cancel_pend_in,cert_mark_in,chg_reg_in,coll_memb_mark_in,coll_serv_mark_in,coll_trade_mark_in,draw_color_cur_in,draw_color_file_in,concur_use_in,concur_use_pend_in,file_location,draw_3d_cur_in,draw_3d_file_in,exm_attorney_name,lb_use_file_in,lb_for_app_cur_in,lb_for_reg_cur_in,lb_intl_reg_cur_in,lb_for_app_file_in,lb_for_reg_file_in,lb_intl_reg_file_in,lb_none_cur_in,filing_dt,for_priority_in,lb_itu_cur_in,lb_itu_file_in,interfer_pend_in,exm_office_cd,file_location_dt,mark_draw_cd,mark_id_char,opposit_pend_in,amend_principal_in,concur_use_pub_in,publication_dt,registration_dt,renewal_dt,renewal_file_in,repub_12c_dt,repub_12c_in,incontest_ack_in,incontest_file_in,acq_dist_in,acq_dist_part_in,use_afdv_acc_in,use_afdv_file_in,use_afdv_par_acc_in,serv_mark_in,std_char_claim_in,cfh_status_cd,cfh_status_dt,amend_supp_reg_in,supp_reg_in,trade_mark_in,lb_use_cur_in,lb_none_file_in,ir_auto_reg_dt,ir_first_refus_in,ir_death_dt,ir_publication_dt,ir_registration_dt,ir_registration_no,ir_renewal_dt,ir_status_cd,ir_status_dt,ir_priority_dt,ir_priority_in,related_other_in,registration_no,tad_file_id
70023873,,,0,0,0,0,2.0,2004-09-04,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1893-10-16,0,0,0,0,0.0,2004-06-23,3000,WHITE ROCK,0,0,0,,1893-11-28,1983-11-28,0,,0,0,0,0,0,0,0,0,0,0,710,2004-09-04,0,0,1,1,0,,,,,,,,,,,,,23873,5
70023877,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1893-03-22,0,0,0,0,,2013-10-15,3000,FERNET BRANCA FRATELLI BRANCA E COMP.,0,0,0,,1893-11-28,2013-11-28,0,,0,0,0,0,0,1,0,0,0,0,800,2013-10-15,0,0,1,1,0,,,,,,,,,,,,,23877,5
70023896,,,0,0,0,0,2.0,2004-09-11,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1893-11-08,0,0,0,0,0.0,2004-06-23,3000,THE BAKER CASTOR OIL WORKS MANUFACTURERSOF CRYSTAL COLD PRESSED CASTOR OIL H J BAKER & BRO AGTS NEW YORK,0,0,0,,1893-12-05,1983-12-05,0,1949-03-01,1,1,0,0,0,1,0,0,0,0,710,2004-09-11,0,0,1,1,0,,,,,,,,,,,,,23896,5
70023898,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1893-03-22,0,0,0,0,,2013-10-11,3000,FERNET BRANCA FRATELLI BRANCA E COMP,0,0,0,,1893-12-05,2013-12-05,0,,0,0,0,0,0,1,0,0,0,0,800,2013-10-11,0,0,1,1,0,,,,,,,,,,,,,23898,5
70023899,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1893-03-22,0,0,0,0,,2013-10-11,3000,FERNET-BRANCA FRATELLI BRANCA E COMP,0,0,0,,1893-12-05,2013-12-05,0,,0,0,0,0,0,1,0,0,0,0,800,2013-10-11,0,0,1,1,0,,,,,,,,,,,,,23899,5
70024004,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1893-12-05,0,0,0,0,0.0,1989-06-01,5000,OLD GLORY,0,0,0,,1894-01-09,,0,,0,0,0,0,0,0,0,0,0,0,900,1980-09-08,0,0,1,1,0,,,,,,,,,,,,,24004,5
70024049,,,0,0,0,0,2.0,2015-03-06,0,0,1,0,0,0,0,0,0,0,POST REGISTRATION,0,0,,1,0,0,0,0,0,0,0,1893-12-21,0,0,0,0,,2015-03-06,1000,MILK OF MAGNESIA,0,0,0,,1894-01-16,2004-01-16,0,,0,0,0,0,0,1,0,0,0,0,710,2015-03-06,0,0,1,1,0,,,,,,,,,,,,,24049,5
70024058,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1893-04-12,0,0,0,0,,2014-01-22,5000,HIRES ROOTBEER.,0,0,0,,1894-01-16,2014-01-16,0,1956-05-29,1,1,0,0,0,1,0,0,0,0,800,2014-01-22,0,0,1,1,0,,,,,,,,,,,,,24058,5
70024295,,,0,0,0,0,2.0,2004-12-11,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1894-02-07,0,0,0,0,0.0,2004-06-23,5000,"""LUXURY""",0,0,0,,1894-03-06,1984-03-06,0,,0,0,0,0,0,0,0,0,0,0,710,2004-12-11,0,0,1,1,0,,,,,,,,,,,,,24295,5
70024555,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1891-12-07,0,0,0,0,0.0,1989-06-01,3000,FOWLER BROS PEACH BRAND LARD GUARANTEED ABSOLUTELY CHICAGO PURE,0,0,0,,1894-04-17,,0,,0,0,0,0,0,0,0,0,0,0,900,1986-06-02,0,0,1,1,0,,,,,,,,,,,,,24555,5
70024620,,,0,0,0,0,2.0,2015-03-06,0,0,0,0,0,0,0,0,0,0,POST REGISTRATION,0,0,,1,0,0,0,0,0,0,0,1894-02-20,0,0,0,0,,2015-03-06,5W23,CALLARD & BOWSER,0,0,0,,1894-05-01,2004-05-01,1,1964-06-02,1,1,0,0,0,1,0,0,0,0,710,2015-03-06,0,0,1,1,0,,,,,,,,,,,,,24620,5
70024657,,,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1893-08-03,0,0,0,0,0.0,1994-03-04,5S07,BROOKS,0,0,0,,1894-05-08,,0,,0,0,0,0,0,0,0,0,0,0,900,1984-09-04,0,0,1,1,0,,,,,,,,,,,,,24657,5
70024818,,,0,0,0,0,2.0,2011-02-09,0,0,0,0,0,0,0,0,0,0,POST REGISTRATION,0,0,,1,0,0,0,0,0,0,0,1893-07-17,0,0,0,0,0.0,2011-02-09,5W23,SARATOGA FLAKES,0,0,0,,1894-06-05,1984-06-05,0,,0,0,0,0,0,0,0,0,0,0,710,2011-02-09,0,0,1,1,0,,,,,,,,,,,,,24818,5
70025029,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-06-04,0,0,0,0,0.0,1994-03-04,3000,PEACH BRAND,0,0,0,,1894-07-17,,0,,0,0,0,0,0,0,0,0,0,0,900,1984-09-04,0,0,1,1,0,,,,,,,,,,,,,25029,5
70025036,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1894-05-23,0,0,0,0,,2014-07-26,3S23,OMEGA,0,0,0,,1894-07-24,2014-07-24,0,1950-01-17,1,1,0,0,0,1,0,0,0,0,800,2014-07-26,0,0,1,1,0,,,,,,,,,,,,,25036,5
70025043,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-06-27,0,0,0,0,0.0,1989-06-01,3000,PEACH LEAF LARD,0,0,0,,1894-07-24,1984-07-24,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25043,5
70025119,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-05-24,0,0,0,0,0.0,1989-06-01,5000,INVINCIBLE,0,0,0,,1894-08-14,1984-08-14,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25119,5
70025168,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-07-28,0,0,0,0,0.0,1989-06-01,1000,MAGNOLIA,0,0,0,,1894-08-21,1984-08-21,0,1947-12-09,1,0,0,0,0,1,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25168,5
70025222,,,0,0,0,0,2.0,2016-02-20,0,0,0,0,0,0,0,0,0,0,POST REGISTRATION,0,0,,1,0,0,0,0,0,0,0,1894-08-17,0,0,0,0,,2016-02-20,3000,C F S CO SAUER'S TRADE MARK.,0,0,0,,1894-09-11,2004-09-11,0,1948-04-27,1,1,0,0,0,1,0,0,0,0,710,2016-02-20,0,0,1,1,0,,,,,,,,,,,,,25222,5
70025455,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1894-10-10,0,0,0,0,0.0,2004-06-23,3S15,SWAMP ROOT,0,0,0,,1894-11-06,1984-11-06,0,,0,0,0,0,0,0,0,0,0,0,900,2005-08-13,0,0,1,1,0,,,,,,,,,,,,,25455,5
70025494,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-10-10,0,0,0,0,0.0,1989-06-01,5000,S. ANDRAL KILMER M.D.,0,0,0,,1894-11-13,1984-11-13,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25494,5
70025550,,,0,0,0,0,2.0,2020-03-16,0,0,0,0,0,0,0,0,0,0,SCANNING ON DEMAND,0,0,,1,0,0,0,0,0,0,0,1894-08-18,0,0,0,0,,2009-01-21,1000,BABCOCK & WILCOX,0,0,0,,1894-11-20,2004-11-20,0,1958-01-14,1,1,0,0,0,1,0,0,0,0,710,2020-03-16,0,0,1,1,0,,,,,,,,,,,,,25550,5
70025573,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,DATA BASE MAINTENANCE SECTION,0,0,,1,0,0,0,0,0,0,0,1894-09-05,0,0,0,0,0.0,1991-03-26,3S13,THE ONLY GENUINE WHEAT STRAW CIGARETTE PAPER,0,0,0,,1894-12-04,1984-12-04,0,,0,0,0,0,0,0,0,0,0,0,900,1987-07-23,0,0,1,1,0,,,,,,,,,,,,,25573,5
70025592,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-10-06,0,0,0,0,0.0,1989-06-01,3000,STAGS HEAD,0,0,0,,1894-12-04,1984-12-04,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,0.0,25592,5
70025627,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-14,0,0,0,0,0.0,1989-06-01,3000,WILLIMANTIC THE BEST THREAD FOR SEWING MACHINES,0,0,0,,1894-12-11,1984-12-11,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25627,5
70025628,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-14,0,0,0,0,0.0,1989-06-01,3000,IVERTON MILLS,0,0,0,,1894-12-11,1984-12-11,0,,0,0,0,0,0,1,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25628,5
70025629,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1894-11-14,0,0,0,0,0.0,2004-06-23,5R19,INTRINSIC,0,0,0,,1894-12-11,1984-12-11,0,,0,0,0,0,0,0,0,0,0,0,900,2005-09-17,0,0,1,1,0,,,,,,,,,,,,,25629,5
70025630,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-14,0,0,0,0,0.0,1989-06-01,3000,DRAGON SPOOL COTTON 16,0,0,0,,1894-12-11,1984-12-11,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25630,5
70025631,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-14,0,0,0,0,0.0,1989-06-01,3000,LIBERTY 36,0,0,0,,1894-12-11,1984-12-11,0,,0,0,0,0,0,0,0,0,0,0,900,1986-08-11,0,0,1,1,0,,,,,,,,,,,,,25631,5
70025632,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-14,0,0,0,0,0.0,1989-06-01,3000,WILLIMATIC STAR THREAD SIX CORD,0,0,0,,1894-12-11,1984-12-11,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25632,5
70025633,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-14,0,0,0,0,0.0,1989-06-01,3000,SUPERIOR SIX CORD MACHINE THREAD,0,0,0,,1894-12-11,1984-12-11,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25633,5
70025636,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-14,0,0,0,0,0.0,1989-06-01,5000,ALPHA 3 500 YDS 70,0,0,0,,1894-12-11,1984-12-11,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25636,5
70025669,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-09,0,0,0,0,0.0,1989-06-01,3000,J & J BALDWIN BEE HIVE B B HALIFAX.,0,0,0,,1894-12-18,1984-12-18,0,1965-02-02,1,0,0,0,0,1,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25669,5
70025674,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1894-11-09,0,0,0,0,0.0,2004-06-23,5S07,BEE HIVE,0,0,0,,1894-12-18,1984-12-18,0,1965-02-02,1,0,0,0,0,1,0,0,0,0,900,2005-09-24,0,0,1,1,0,,,,,,,,,,,,,25674,5
70025770,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-03,0,0,0,0,0.0,1989-06-01,3000,STANDARD OIL CO OF NEW YORK BY PRESIDENTWM. ROCKEFELLER,0,0,0,,1895-01-01,1985-01-01,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25770,5
70025884,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-10-25,0,0,0,0,0.0,1989-06-01,1000,MAGNUS,0,0,0,,1895-01-15,1985-01-15,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25884,5
70025928,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-12-10,0,0,0,0,0.0,1989-06-01,3000,CCC,0,0,0,,1895-01-29,1985-01-29,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25928,5
70025989,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1895-01-07,0,0,0,0,0.0,1989-06-01,5000,BULL'S HEAD,0,0,0,,1895-02-05,1985-02-05,0,,0,0,0,0,0,1,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,25989,5
70026078,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1895-01-15,0,0,0,0,0.0,1989-06-01,5000,WINEBURGH'S BABESKIN SOAP,0,0,0,,1895-02-19,1985-02-19,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,26078,5
70026104,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1893-06-03,0,0,0,0,0.0,1989-06-01,3000,GUDE BROD BROS CHAMPION WARRANTED PURE DVE,0,0,0,,1895-02-19,1985-02-19,0,1965-03-02,1,1,0,0,0,1,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,26104,5
70026109,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1895-01-05,0,0,0,0,0.0,1989-06-01,3000,SPLENDOR,0,0,0,,1895-02-26,1985-02-26,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,26109,5
70026110,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1895-01-05,0,0,0,0,0.0,1989-06-01,3000,GOLD,0,0,0,,1895-02-26,,0,,0,0,0,0,0,1,0,0,0,0,900,1986-03-13,0,0,1,1,0,,,,,,,,,,,,,26110,5
70026127,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1894-11-17,0,0,0,0,0.0,1989-06-01,3000,OZOMULSION,0,0,0,,1895-02-26,1985-02-26,0,,0,0,0,0,0,0,0,0,0,0,900,1986-03-17,0,0,1,1,0,,,,,,,,,,,,,26127,5
70026186,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1895-01-11,0,0,0,0,0.0,2004-06-23,3S21,"CERETANA BOZEMAN MILLING COMPANY BOZEMAN, MT. FROM SELECTED HARD WHEAT CERETANA",0,0,0,,1895-03-05,1985-03-05,0,1948-06-29,1,1,0,0,0,1,0,0,0,0,900,2005-12-10,0,0,1,1,0,,,,,,,,,,,,,26186,5
